Gene,Screen 1 P value,Screen 2 P value,Fisher P value,Screen 1 log2 Fold Enrichment,Screen 2 log2 Fold Enrichment,Combined log2 Fold Enrichment,Fold Enrichment,Screen 1 'Good' sgRNAs,Screen 2 'Good' sgRNAs
DDX6,1.0014e-5,2.7474e-5,6.331662494847708e-9,1.8187,2.4282,2.12345,4.357346976646751,4,3
RPL27,0.0022501,0.001339,4.131451042720703e-5,1.2947,1.9455,1.6200999999999999,3.0739634260999145,3,2
TRA2B,2.5677e-7,0.0018367,1.059936123001947e-8,1.7167,1.2982,1.50745,2.8430707479863493,4,3
RPL31,0.11584,1.2196e-4,1.7189863253635354e-4,0.61122,2.2839,1.44756,2.727463708034441,3,3
RPS13,0.018016,1.1478e-4,2.9134287599376015e-5,1.0264,1.6996,1.363,2.5721949668612067,4,3
KRT18,0.015746,1.8462e-4,3.996690472523216e-5,0.96125,1.6854,1.323325,2.502421824390485,3,4
COPA,0.0050678,0.0036392,2.1948406907318417e-4,1.0618,1.3749,1.21835,2.326804500921459,4,3
MRPS2,0.004902,5.4563e-4,3.699529770428062e-5,0.90696,1.4965,1.20173,2.3001532733330428,3,3
MRPL43,0.017048,4.2701e-4,9.340121850922529e-5,0.79374,1.6018,1.19777,2.293848325165777,4,4
SMC4,0.0019938,8.1164e-4,2.3196233990382852e-5,0.91281,1.4197,1.166255,2.244283608813925,4,3
CSNK2A1,2.5677e-7,0.021145,1.0875871656999187e-7,1.3419,0.98495,1.1634250000000002,2.239885522519597,4,3
HSPE1,7.9059e-4,0.0014073,1.636498613323985e-5,1.0728,1.2083,1.14055,2.2046505525879447,3,2
CSNK1A1,8.9099e-5,0.031039,3.815972987223424e-5,1.3435,0.89975,1.1216249999999999,2.175919222725771,4,3
COA5,0.024588,0.0010525,2.992136623560515e-4,0.79493,1.3962,1.0955650000000001,2.1369675489037263,4,3
RPL27A,1.1041e-5,0.10381,1.682467456211813e-5,1.4303,0.75683,1.093565,2.1340071353172285,4,2
GFM1,3.8798e-4,0.00401,2.236232079173115e-5,1.108,1.0772,1.0926,2.132580202905601,3,3
GOLGA6L1,0.00111,0.0096696,1.3354492710277387e-4,1.1126,1.0025,1.05755,2.081393873573688,2,2
