sgRNA	Gene	baseline_1	fxn_1	baseline_2	fxn_2
sgIQCH_1	IQCH	322	477	354	653
sgZNF557_1	ZNF557	4346	3717	4673	4929
sgHBE1_2	HBE1	2310	1740	6087	2841
sgIL16_2	IL16	2747	1702	703	850
sgCEP63_2	CEP63	6242	3234	1714	1020
sgGABRA5_2	GABRA5	1064	1031	1290	1176
sgAGBL4_3	AGBL4	5863	3552	918	1161
sgTMEM74B_2	TMEM74B	1024	832	1758	2215
sgPAK3_3	PAK3	3831	2639	1798	1928
sgTRABD2B_3	TRABD2B	1416	1189	294	307
sgABHD12_4	ABHD12	1493	903	3812	2122
sgGPT_3	GPT	1470	1271	217	361
sgUSP50_4	USP50	517	472	433	132
sgCOL9A1_1	COL9A1	2220	1521	5980	3422
sgCHMP7_3	CHMP7	2823	2338	291	512
sgABHD3_3	ABHD3	1943	2373	3981	4090
sgZBTB42_3	ZBTB42	2210	2084	6035	4347
sgRCL1_4	RCL1	175	262	148	145
sgMAGEB1_2	MAGEB1	2010	1730	810	861
sgOR2H2_2	OR2H2	1519	1388	2634	1992
sgFAM228B_1	FAM228B	6601	2932	752	988
sgVPS8_4	VPS8	1407	1337	1523	1988
sgTGFA_2	TGFA	799	587	5789	2644
sgCDC37L1_3	CDC37L1	2396	2338	733	690
sgKRT33B_2	KRT33B	1482	1409	800	1378
sgMCOLN3_1	MCOLN3	1735	1042	2728	1847
sgCSN3_2	CSN3	2572	2045	2314	1606
sgCAMK2N1_3	CAMK2N1	5393	3515	3986	3262
sgMEIG1_4	MEIG1	3425	3404	683	1155
sgTRPA1_1	TRPA1	925	535	1561	1905
sgCHEK2_3	CHEK2	2645	2189	5553	2477
sgDUSP28_2	DUSP28	2382	2307	3670	1969
sgEXOC4_2	EXOC4	218	280	347	334
sgSYNE3_1	SYNE3	2195	1646	4551	3542
sgHSPA1B_2	HSPA1B	2566	1789	325	336
sgACSL5_3	ACSL5	1018	629	273	444
sgC5orf55_3	C5orf55	1204	711	2134	2068
sgDBI_2	DBI	1300	1387	648	341
sgCLEC4D_4	CLEC4D	1622	1268	1193	453
sgABCF2_2	ABCF2	4880	3290	870	678
sgAAED1_4	AAED1	557	454	3743	3044
sgXKRY_4	XKRY	1500	1197	3170	2469
sgZNF420_4	ZNF420	1979	1275	1298	1129
sgFAM83G_1	FAM83G	5627	3178	2949	1707
sgUSP44_1	USP44	1443	1651	1559	1175
sgGNG7_4	GNG7	1066	1275	716	559
sgPCGF5_1	PCGF5	428	338	340	194
sgENTPD6_3	ENTPD6	1886	1076	2844	2760
sgSH2D6_4	SH2D6	1661	1560	1554	1190
sgARHGAP21_1	ARHGAP21	2085	1177	4157	4023
sgCNNM2_1	CNNM2	1943	1634	1731	1145
sgE2F8_3	E2F8	1271	2504	1885	1753
sgARX_1	ARX	2327	1260	521	403
sgPTPN6_3	PTPN6	260	507	2141	1383
sgZNF80_3	ZNF80	573	491	7690	3764
sgBTBD19_3	BTBD19	2535	2410	1096	774
sgC14orf2_1	C14orf2	1231	1419	1333	463
sgCDK11A_4	CDK11A	694	538	1975	1294
sgDCXR_1	DCXR	1545	1156	1954	1189
sgCAST_2	CAST	1058	807	212	169
sgSLC35E1_2	SLC35E1	1809	1098	1912	1754
sgCABLES2_4	CABLES2	617	714	1660	1152
sgCGA_1	CGA	2398	2606	1400	960
sgPRDM1_3	PRDM1	1120	1177	2287	1807
sgFTSJ2_3	FTSJ2	686	683	3950	18117
sgHS6ST3_3	HS6ST3	904	890	936	855
sgCKAP4_2	CKAP4	2875	2055	3471	1348
sgREPS1_2	REPS1	2788	2433	2843	2397
sgUNC93B1_3	UNC93B1	3173	1417	2532	2271
sgTMEM262_4	TMEM262	275	250	2691	1530
sgIMPA1_3	IMPA1	4269	2387	1812	1047
sgGSTA4_1	GSTA4	1541	917	2531	2205
sgALOX5_1	ALOX5	666	637	1473	624
sgZP1_3	ZP1	530	645	2751	4339
sgMUC17_3	MUC17	397	497	1041	918
sgHOXC9_2	HOXC9	1140	1159	997	800
sgDHX30_4	DHX30	1092	1299	1764	2674
sgAMDHD2_2	AMDHD2	1922	1752	3974	2555
sgC20orf144_4	C20orf144	1143	573	367	455
sgRIPK4_3	RIPK4	1618	1040	1029	1196
sgRBBP7_1	RBBP7	832	711	534	438
sgTPM3_2	TPM3	1290	1188	699	363
sgRNF122_1	RNF122	7895	3874	4517	3193
Neg_Control_Human_0056	NegCtrl	672	607	1260	1294
sgPLCB1_1	PLCB1	3705	3224	210	396
sgSPRR2A_4	SPRR2A	455	127	857	527
sgCHODL_2	CHODL	888	552	2923	1433
sgCD28_3	CD28	736	822	3137	1652
sgHOXC11_4	HOXC11	514	203	520	325
sgEFNB1_1	EFNB1	3647	3751	405	563
sgIGSF22_1	IGSF22	2934	2021	14994	8339
sgZNF354B_1	ZNF354B	916	653	2757	2936
sgMGC57346-CRHR1_4	MGC57346-CRHR1	1053	795	585	657
sgHOXB8_3	HOXB8	1362	1182	4036	1211
sgNOMO3_2	NOMO3	4631	3063	1504	1205
sgBPIFB2_4	BPIFB2	2266	1255	1478	1698
sgKBTBD11_2	KBTBD11	1320	2191	8074	6601
sgZNF814_3	ZNF814	1666	1166	4078	3546
sgCNGA2_1	CNGA2	2688	2804	2795	1372
sgMIOS_2	MIOS	749	987	599	456
sgCHRNA4_2	CHRNA4	900	698	3096	4047
sgRASSF7_4	RASSF7	1062	793	4412	3195
sgMGAT3_4	MGAT3	1204	1098	916	764
sgTTC23_1	TTC23	3078	2053	998	741
sgCCDC112_1	CCDC112	2993	1535	1841	1971
sgPNCK_2	PNCK	1369	1318	5406	3775
sgCOLQ_4	COLQ	1190	1023	3126	2341
sgETV7_2	ETV7	869	582	712	913
sgNLRP2_1	NLRP2	1624	1128	1633	1010
sgACTL9_4	ACTL9	1539	1945	592	979
sgKIF9_2	KIF9	2967	2975	2808	16708
sgNOL6_3	NOL6	678	888	178	207
sgMIR205HG_1	MIR205HG	510	554	465	231
sgTTLL9_1	TTLL9	6286	3980	1238	940
sgCSNK2A1_2	CSNK2A1	9705	19525	663	1472
